"","top","model_type","test","gene","stat","pval","fdr","gene_index","ensembl","results"
"1",1,"enrichment","anterior","C5orf63",12.1511824657189,3.2942336959844e-27,4.02720069334093e-23,3456,"ENSG00000164241","c(""anterior_top1""; ""anterior-middle_top1""; ""anterior-posterior_top1""; ""all_top1"")"
"2",2,"enrichment","anterior","GPM6A",11.7226651425703,9.18051601488059e-26,5.61159041409576e-22,3133,"ENSG00000150625","c(""anterior_top2""; ""anterior-middle_top2""; ""anterior-posterior_top2""; ""all_top2"")"
"3",3,"enrichment","anterior","SEC62",10.6043414734937,4.52675855426388e-22,1.84465411086253e-18,2605,"ENSG00000008952","c(""anterior_top3""; ""anterior-middle_top3""; ""anterior-posterior_top3""; ""all_top4"")"
"4",4,"enrichment","anterior","MTRNR2L10",9.02005219794208,4.2443525868195e-17,7.41245862483833e-14,11946,"ENSG00000256045","c(""anterior_top4""; ""anterior-middle_top6""; ""anterior-posterior_top4""; ""all_top8"")"
"5",5,"enrichment","anterior","MTRNR2L1",8.521144966942,1.29649119192066e-15,1.584960482123e-12,9527,"ENSG00000256618","c(""anterior_top5""; ""anterior-middle_top5""; ""anterior-posterior_top8""; ""all_top10"")"
"6",6,"enrichment","anterior","MTRNR2L3",7.96224013512791,5.26466777686663e-14,4.95081258247651e-11,11294,"ENSG00000256222","c(""anterior_top6""; ""anterior-middle_top7""; ""anterior-posterior_top17""; ""all_top17"")"
"7",7,"enrichment","anterior","HSP90AA1",7.95024766646134,5.69123981283869e-14,4.96967190799664e-11,8334,"ENSG00000080824","c(""anterior_top7""; ""anterior-middle_top9""; ""anterior-posterior_top11""; ""all_top19"")"
"8",8,"enrichment","anterior","HSP90AB1",7.76535371311972,1.87538308655373e-13,1.52843721554129e-10,4022,"ENSG00000096384","c(""anterior_top8""; ""anterior-middle_top13""; ""anterior-posterior_top7""; ""all_top20"")"
"9",9,"enrichment","anterior","BASP1",7.66476751121997,3.56281775058064e-13,2.72221543755302e-10,3206,"ENSG00000176788","c(""anterior_top9""; ""anterior-middle_top19""; ""anterior-posterior_top6""; ""all_top18"")"
"10",10,"enrichment","anterior","TMBIM6",7.31846039067692,3.12161204949314e-12,1.90808536525268e-09,7305,"ENSG00000139644","c(""anterior_top10""; ""anterior-middle_top16""; ""anterior-posterior_top14"")"
"11",11,"enrichment","anterior","RAC1",7.11146002888152,1.10862334593106e-11,5.64705016833633e-09,4388,"ENSG00000136238","c(""anterior_top11""; ""anterior-posterior_top10"")"
"12",12,"enrichment","anterior","CELF4",6.92998391823383,3.30363853169031e-11,1.55334542499669e-08,10139,"ENSG00000101489","c(""anterior_top12""; ""anterior-middle_top17"")"
"13",13,"enrichment","anterior","LMO4",6.84396530720123,5.50781022778553e-11,2.40474928695279e-08,543,"ENSG00000143013","c(""anterior_top13""; ""anterior-posterior_top16"")"
"14",14,"enrichment","anterior","HNRNPL",6.76355111246281,8.84816673183634e-11,3.48219603287245e-08,10706,"ENSG00000104824","c(""anterior_top14""; ""anterior-middle_top8"")"
"15",15,"enrichment","anterior","MORF4L1",6.75849099841175,9.11495076089313e-11,3.48219603287245e-08,8664,"ENSG00000185787","c(""anterior_top15""; ""anterior-posterior_top20"")"
"16",16,"enrichment","anterior","NFIX",6.72402741932942,1.11545175217489e-10,4.01070519715826e-08,10480,"ENSG00000008441","c(""anterior_top16""; ""anterior-middle_top4""; ""posterior-middle_top15"")"
"17",17,"enrichment","anterior","ZYG11B",6.67990038352018,1.44311767853582e-10,4.76813881624334e-08,445,"ENSG00000162378","anterior_top17"
"18",18,"enrichment","anterior","NUCKS1",6.64809092209151,1.73630470821635e-10,5.4426474507551e-08,1052,"ENSG00000069275","c(""anterior_top18""; ""anterior-posterior_top9"")"
"19",19,"enrichment","anterior","MTRNR2L6",6.61177299575009,2.14299346821005e-10,6.33174262998461e-08,4863,"ENSG00000270672","c(""anterior_top19""; ""anterior-middle_top10"")"
"20",20,"enrichment","anterior","PCBP1",6.59156608332363,2.40838813548492e-10,6.84710347821005e-08,1465,"ENSG00000169564","c(""anterior_top20""; ""anterior-posterior_top13"")"
"21",21,"enrichment","anterior","ACTN4",6.52521181035562,3.52772324109136e-10,9.10976782248123e-08,10704,"ENSG00000130402","character(0)"
"22",22,"enrichment","anterior","TSPYL4",6.52279949019281,3.57684135361226e-10,9.10976782248123e-08,4183,"ENSG00000187189","anterior-middle_top11"
"23",23,"enrichment","anterior","MARCKS",6.48997789165349,4.31574139024885e-10,1.03450859795671e-07,4179,"ENSG00000277443","anterior-posterior_top15"
"24",24,"enrichment","anterior","PSIP1",6.48020433168454,4.56338369125499e-10,1.07283395433831e-07,5421,"ENSG00000164985","anterior-middle_top18"
"25",25,"enrichment","anterior","MT-ND4",6.46876837230631,4.87089343171334e-10,1.12352211703199e-07,12221,"ENSG00000198886","anterior-posterior_top5"
"26",26,"enrichment","anterior","MTRNR2L11",6.35981044455661,9.03093545050972e-10,1.97148546218717e-07,1193,"ENSG00000270188","anterior-middle_top15"
"27",27,"enrichment","anterior","PRKAR1A",6.2912160787075,1.32716194228723e-09,2.74992453295956e-07,9882,"ENSG00000108946","character(0)"
"28",28,"enrichment","anterior","YWHAB",6.2388310393023,1.77730545075891e-09,3.56189494025043e-07,11232,"ENSG00000166913","character(0)"
"29",29,"enrichment","anterior","RTF1",6.21880983809912,1.9862975779411e-09,3.91653030489192e-07,8449,"ENSG00000137815","anterior-middle_top20"
"30",30,"enrichment","anterior","NAP1L2",6.0549620341997,4.88752503543764e-09,8.29861021642016e-07,11986,"ENSG00000186462","character(0)"
"31",31,"enrichment","anterior","AL035078.1",5.97257399054338,7.63724951028209e-09,1.22849177977893e-06,6534,"ENSG00000254584","character(0)"
"32",32,"enrichment","anterior","TUBA1A",5.7681682353609,2.26819182164988e-08,3.30102916900831e-06,7299,"ENSG00000167552","character(0)"
"33",33,"enrichment","anterior","EIF5B",5.69585001922528,3.31203199397021e-08,4.54904525028911e-06,1590,"ENSG00000158417","character(0)"
"34",34,"enrichment","anterior","APP",5.66447572819397,3.89902526342702e-08,5.07080679206332e-06,11380,"ENSG00000142192","anterior-middle_top12"
"35",35,"enrichment","anterior","SERINC1",5.65852895480297,4.02119658131393e-08,5.13783198175267e-06,4200,"ENSG00000111897","character(0)"
"36",36,"enrichment","anterior","MTRNR2L12",5.65523647994709,4.09043505951943e-08,5.13783198175267e-06,2371,"ENSG00000269028","character(0)"
"37",37,"enrichment","anterior","HMGB1",5.59152810843643,5.683460860872e-08,6.81179500236865e-06,7790,"ENSG00000189403","anterior-posterior_top19"
"38",38,"enrichment","anterior","ANKRD12",5.56599081071176,6.47946924721062e-08,7.69043801428639e-06,10070,"ENSG00000101745","character(0)"
