,genesymbol_intercell_source,genesymbol_intercell_target,receptor_SCZ_risk,ligand_SCZ_risk,source,target,is_stimulation,is_inhibition,consensus_direction,consensus_stimulation,consensus_inhibition,curation_effort,references,sources,type,references_stripped,n_references,n_sources,n_primary_sources,category_intercell_source,parent_intercell_source,database_intercell_source,scope_intercell_source,aspect_intercell_source,category_source_intercell_source,uniprot_intercell_source,entity_type_intercell_source,consensus_score_intercell_source,transmitter_intercell_source,receiver_intercell_source,secreted_intercell_source,plasma_membrane_transmembrane_intercell_source,plasma_membrane_peripheral_intercell_source,category_intercell_target,parent_intercell_target,database_intercell_target,scope_intercell_target,aspect_intercell_target,category_source_intercell_target,uniprot_intercell_target,entity_type_intercell_target,consensus_score_intercell_target,transmitter_intercell_target,receiver_intercell_target,secreted_intercell_target,plasma_membrane_transmembrane_intercell_target,plasma_membrane_peripheral_intercell_target
0,EFNA5,EPHA3,False,True,P52803,P29320,True,False,True,True,False,30,Baccin2019:9195962;Baccin2019:9245480;Baccin2019:9330863;Baccin2019:9751130;BioGRID:9245480;CellChatDB:15114347;CellPhoneDB:15114347;Cellinker:15114347;Cellinker:9195962;Cellinker:9245480;Cellinker:9330863;Cellinker:9751130;HPMR:9330863;HPRD:9195962;HPRD:9245480;HPRD:9751130;ICELLNET:9530499;LRdb:11114742;SIGNOR:9330863;SignaLink3:18988627;SignaLink3:21071413;SignaLink3:23331499;SignaLink3:9195962;SignaLink3:9245480;SignaLink3:9576626;SignaLink3:9751130;connectomeDB2020:9195962;connectomeDB2020:9245480;connectomeDB2020:9330863;connectomeDB2020:9751130,Baccin2019;BioGRID;CellCall;CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;CellTalkDB;Cellinker;DLRP_Cellinker;DLRP_talklr;EMBRACE;Fantom5_LRdb;HPMR;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;ICELLNET;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;STRING_talklr;SignaLink3;Wang;connectomeDB2020;iTALK;talklr,post_translational,11114742;15114347;18988627;21071413;23331499;9195962;9245480;9330863;9530499;9576626;9751130,11,30,19,ligand,ligand,,generic,functional,resource_specific,P52803,protein,10,True,False,False,True,True,receptor,receptor,scConnect;OmniPath,generic,functional,resource_specific,P29320,protein,19,False,True,True,True,False
0,EFNA5,EPHA4,False,True,P52803,P54764,True,False,True,True,False,18,Baccin2019:9330863;CellChatDB:15114347;CellPhoneDB:15114347;Cellinker:15114347;DIP:19836338;DIP:23812375;HPMR:9330863;HPRD:8755474;IntAct:19836338;IntAct:23812375;LRdb:11114742;SIGNOR:9330863;SignaLink3:18988627;SignaLink3:23331499;SignaLink3:8755474;SignaLink3:9576626;connectomeDB2020:8755474;connectomeDB2020:9330863,Baccin2019;CellCall;CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;CellTalkDB;Cellinker;DIP;DLRP_Cellinker;DLRP_talklr;EMBRACE;Fantom5_LRdb;HPMR;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;IntAct;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;STRING_talklr;SignaLink3;Wang;connectomeDB2020;iTALK;talklr,post_translational,11114742;15114347;18988627;19836338;23331499;23812375;8755474;9330863;9576626,9,30,19,ligand,ligand,,generic,functional,resource_specific,P52803,protein,10,True,False,False,True,True,receptor,receptor,talklr;Cellinker;scConnect;connectomeDB2020;CellCall;iTALK;CellCellInteractions;EMBRACE;HGNC;CellPhoneDB;HPMR;CellChatDB;CellTalkDB;Surfaceome;Ramilowski2015;LRdb;Baccin2019;SignaLink_function;OmniPath,generic,functional,resource_specific,P54764,protein,20,False,True,False,True,False
0,IL16,GRIN2A,True,False,Q14005,Q12879,False,False,False,False,False,2,CellTalkDB:32103204;HPRD:10479680,CellPhoneDB;CellTalkDB;HPRD;I2D_CellPhoneDB,post_translational,10479680;32103204,2,4,3,ligand,ligand,,generic,functional,resource_specific,Q14005,protein,16,True,False,True,False,False,receptor,receptor,talklr;Cellinker;scConnect;connectomeDB2020;iTALK;Almen2009;CellCellInteractions;EMBRACE;HGNC;HPMR;ICELLNET;CellChatDB;CellTalkDB;Surfaceome;Ramilowski2015;Guide2Pharma;LRdb;Baccin2019;OmniPath,generic,functional,resource_specific,Q12879,protein,6,False,True,False,False,False
0,NID1,PTPRF,True,False,P14543,P10586,True,False,True,True,False,5,Baccin2019:9647658;CellTalkDB:9647658;Cellinker:9647658;LRdb:9647658;connectomeDB2020:9647658,Baccin2019;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;Wang;connectomeDB2020;iTALK;talklr,post_translational,9647658,1,15,10,ligand,ligand,,generic,functional,resource_specific,P14543,protein,8,True,False,True,False,False,receptor,receptor,scConnect;OmniPath,generic,functional,resource_specific,P10586,protein,15,False,True,False,True,False
0,JAM3,ITGB1,False,True,Q9BX67,P05556,False,False,False,False,False,1,CellTalkDB:32196115,CellTalkDB;LRdb;Reactome_LRdb,post_translational,32196115,1,3,2,ligand,ligand,,generic,functional,resource_specific,Q9BX67,protein,3,True,False,True,True,False,receptor,receptor,talklr;Cellinker;scConnect;connectomeDB2020;CellCall;iTALK;Almen2009;CellCellInteractions;EMBRACE;HGNC;CellPhoneDB;HPMR;CellTalkDB;Surfaceome;Ramilowski2015;LRdb;OmniPath,generic,functional,resource_specific,P05556,protein,18,False,True,False,True,False
0,EFNA5,EPHB2,False,True,P52803,P29323,True,False,True,True,False,10,Baccin2019:1510785715107850;CellChatDB:15107857;CellChatDB:15114347;CellPhoneDB:15114347;CellTalkDB:15107857;Cellinker:15107857;Cellinker:15114347;HPRD:15107857;LRdb:15107857;connectomeDB2020:15107857,Baccin2019;CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;STRING_talklr;Wang;connectomeDB2020;iTALK;talklr,post_translational,15107857;1510785715107850;15114347,3,22,13,ligand,ligand,,generic,functional,resource_specific,P52803,protein,10,True,False,False,True,True,receptor,receptor,talklr;Cellinker;scConnect;connectomeDB2020;CellCall;iTALK;CellCellInteractions;HGNC;CellPhoneDB;GO_Intercell;HPMR;ICELLNET;CellChatDB;CellTalkDB;Ramilowski2015;Kirouac2010;Guide2Pharma;LRdb;Baccin2019;OmniPath,generic,functional,resource_specific,P29323,protein,20,False,True,False,True,False
0,TGFB1,LPP,True,False,P01137,Q93052,False,False,False,False,False,1,Cellinker:23447672,Cellinker,post_translational,23447672,1,1,1,ligand,ligand,,generic,functional,resource_specific,P01137,protein,21,True,False,True,False,False,receptor,receptor,Cellinker;connectomeDB2020;CellCall;iTALK;CellCellInteractions;EMBRACE;CellPhoneDB;HPMR;CellChatDB;CellTalkDB;Surfaceome;Ramilowski2015;Baccin2019;OmniPath,generic,functional,resource_specific,Q93052,protein,1,False,True,False,False,False
0,PTN,SDC3,False,True,P21246,O75056,True,False,True,True,False,10,Baccin2019:8175719;CellChatDB:25620911;CellChatDB:28356350;Cellinker:11461706;Cellinker:25620911;Cellinker:28356350;Cellinker:8175719;HPRD:8175719;LRdb:8175719;connectomeDB2020:8175719,Baccin2019;CellChatDB;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;STRING_talklr;Wang;connectomeDB2020;iTALK;talklr,post_translational,11461706;25620911;28356350;8175719,4,17,12,ligand,ligand,,generic,functional,resource_specific,P21246,protein,15,True,False,True,False,False,receptor,receptor,Cellinker;scConnect;OmniPath,generic,functional,resource_specific,O75056,protein,12,False,True,False,True,False
0,NTN4,DCC,True,False,Q9HB63,P43146,True,False,True,True,False,6,Baccin2019:17174565;CellTalkDB:17174565;Cellinker:17174565;DIP:19721007;LRdb:17174565;connectomeDB2020:17174565,Baccin2019;CellTalkDB;Cellinker;DIP;EMBRACE;Fantom5_LRdb;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;Wang;connectomeDB2020;iTALK;talklr,post_translational,17174565;19721007,2,16,11,ligand,ligand,,generic,functional,resource_specific,Q9HB63,protein,10,True,False,True,False,False,receptor,receptor,talklr;Cellinker;scConnect;connectomeDB2020;CellCall;iTALK;Almen2009;CellCellInteractions;EMBRACE;HGNC;CellPhoneDB;HPMR;ICELLNET;CellChatDB;CellTalkDB;Surfaceome;Ramilowski2015;LRdb;Baccin2019;OmniPath,generic,functional,resource_specific,P43146,protein,14,False,True,False,True,False
0,SLIT2,DCC,True,False,O94813,P43146,False,False,False,False,False,1,CellTalkDB:32196115,CellTalkDB;EMBRACE;Fantom5_LRdb;LRdb;STRING_talklr;iTALK;talklr,post_translational,32196115,1,7,5,ligand,ligand,,generic,functional,resource_specific,O94813,protein,9,True,False,True,False,False,receptor,receptor,talklr;connectomeDB2020;CellCall;iTALK;Almen2009;CellCellInteractions;EMBRACE;HGNC;CellPhoneDB;ICELLNET;CellTalkDB;Surfaceome;Ramilowski2015;Guide2Pharma;LRdb;Baccin2019;OmniPath,generic,functional,resource_specific,P43146,protein,14,False,True,False,True,False
