"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16"
"1","MYH11_ENSG00000133392","MT3_ENSG00000087250","CARTPT_ENSG00000164326","TMSB10_ENSG00000034510","NEFL_ENSG00000277586","CNP_ENSG00000173786","SMIM32_ENSG00000271824","CAMK2N1_ENSG00000162545","NEFM_ENSG00000104722","AL627171.2_ENSG00000282885","MBP_ENSG00000197971","SMIM32_ENSG00000271824","KRT17_ENSG00000128422","SPARC_ENSG00000113140","PLP1_ENSG00000123560","TMSB10_ENSG00000034510"
"2","TAGLN_ENSG00000149591","CXCL14_ENSG00000145824","LMO4_ENSG00000143013","TRABD2A_ENSG00000186854","NEFM_ENSG00000104722","CLDND1_ENSG00000080822","NPTX1_ENSG00000171246","HPCAL1_ENSG00000115756","SCN1B_ENSG00000105711","MTRNR2L12_ENSG00000269028","MOBP_ENSG00000168314","DACH1_ENSG00000276644","DIRAS2_ENSG00000165023","MT-ATP8_ENSG00000228253","SEPTIN4_ENSG00000108387","PCP4_ENSG00000183036"
"3","ACTA2_ENSG00000107796","CST3_ENSG00000101439","YWHAH_ENSG00000128245","PCP4_ENSG00000183036","NEFH_ENSG00000100285","DBNDD2_ENSG00000244274","DIRAS2_ENSG00000165023","C1QL2_ENSG00000144119","NEFL_ENSG00000277586","AL355075.4_ENSG00000259001","PAQR6_ENSG00000160781","B3GALT2_ENSG00000162630","PLP1_ENSG00000123560","MT-ND2_ENSG00000198763","CNP_ENSG00000173786","AL353751.1_ENSG00000232110"
"4","HLA-B_ENSG00000234745","C1orf61_ENSG00000125462","ENC1_ENSG00000171617","AL353751.1_ENSG00000232110","SCN1B_ENSG00000105711","PLP1_ENSG00000123560","THEMIS_ENSG00000172673","NCDN_ENSG00000020129","LMO4_ENSG00000143013","PLCG2_ENSG00000197943","BCAS1_ENSG00000064787","CPLX2_ENSG00000145920","CCN2_ENSG00000118523","MTRNR2L12_ENSG00000269028","DBNDD2_ENSG00000244274","TRABD2A_ENSG00000186854"
"5","MYL9_ENSG00000101335","GLUL_ENSG00000135821","LINC01007_ENSG00000233123","TUBB2A_ENSG00000137267","LGALS1_ENSG00000100097","SLC44A1_ENSG00000070214","AK5_ENSG00000154027","PENK_ENSG00000181195","NEFH_ENSG00000100285","MALAT1_ENSG00000251562","TP53INP2_ENSG00000078804","FEZF2_ENSG00000153266","OPALIN_ENSG00000197430","MT-ND5_ENSG00000198786","MBP_ENSG00000197971","STMN1_ENSG00000117632"
"6","S100A4_ENSG00000196154","MT-ND2_ENSG00000198763","HOPX_ENSG00000171476","PFKP_ENSG00000067057","SYT2_ENSG00000143858","TF_ENSG00000091513","MAP2K1_ENSG00000169032","CARTPT_ENSG00000164326","RCAN2_ENSG00000172348","LINC00632_ENSG00000203930","MTURN_ENSG00000180354","SLC17A7_ENSG00000104888","SEMA3E_ENSG00000170381","MALAT1_ENSG00000251562","CLDND1_ENSG00000080822","MGST3_ENSG00000143198"
"7","MFAP4_ENSG00000166482","MT-ND1_ENSG00000198888","ADCYAP1_ENSG00000141433","SYN2_ENSG00000157152","ATP1B1_ENSG00000143153","QKI_ENSG00000112531","DKK3_ENSG00000050165","CALB1_ENSG00000104327","NRGN_ENSG00000154146","MT-ND5_ENSG00000198786","PLP1_ENSG00000123560","KIF1A_ENSG00000130294","CNP_ENSG00000173786","MT-ND4L_ENSG00000212907","MOBP_ENSG00000168314","TTC9B_ENSG00000174521"
"8","CRIP1_ENSG00000213145","MT-ATP8_ENSG00000228253","CTXN3_ENSG00000205279","STMN1_ENSG00000117632","RCAN2_ENSG00000172348","MAG_ENSG00000105695","DACH1_ENSG00000276644","PCDH8_ENSG00000136099","NTNG1_ENSG00000162631","MT-CO3_ENSG00000198938","LPAR1_ENSG00000198121","GALNT14_ENSG00000158089","MAG_ENSG00000105695","MT-ND1_ENSG00000198888","OPALIN_ENSG00000197430","FAM3C_ENSG00000196937"
"9","MGP_ENSG00000111341","MT-ND5_ENSG00000198786","LINC02552_ENSG00000256422","SYT1_ENSG00000067715","ATP1A1_ENSG00000163399","CRYAB_ENSG00000109846","CCK_ENSG00000187094","RASGRF2_ENSG00000113319","GPX3_ENSG00000211445","SOWAHA_ENSG00000198944","RASSF2_ENSG00000101265","CD22_ENSG00000012124","MBP_ENSG00000197971","MSX1_ENSG00000163132","TF_ENSG00000091513","PVALB_ENSG00000100362"
"10","CLDN5_ENSG00000184113","MT-ND6_ENSG00000198695","CALB1_ENSG00000104327","SMYD2_ENSG00000143499","HSPA8_ENSG00000109971","MARCKSL1_ENSG00000175130","NR4A2_ENSG00000153234","GNAL_ENSG00000141404","ATP1B1_ENSG00000143153","MT-ND4_ENSG00000198886","PAIP2B_ENSG00000124374","MAP1B_ENSG00000131711","PPP1R14A_ENSG00000167641","LINC00632_ENSG00000203930","SLC44A1_ENSG00000070214","SMYD2_ENSG00000143499"
