"","top","model_type","test","gene","stat","pval","fdr","gene_index","ensembl","results"
"1",1,"enrichment","Sp09D01","CLDN5",26.1024206476852,2.04113120708457e-75,2.49528290066088e-71,11507,"ENSG00000184113","c(""Sp09D01_top1""; ""Sp09D01-Sp09D02_top1""; ""Sp09D01-Sp09D03_top4""; ""Sp09D01-Sp09D04_top4""; ""Sp09D01-Sp09D05_top5""; ""Sp09D01-Sp09D06_top3""; ""Sp09D01-Sp09D07_top2""; ""Sp09D01-Sp09D08_top6""; ""Sp09D01-Sp09D09_top2""; ""all_top12"")"
"2",2,"enrichment","Sp09D01","TAGLN",25.3401913281202,5.75173563435501e-73,3.5157484064995e-69,6997,"ENSG00000149591","c(""Sp09D01_top2""; ""Sp09D01-Sp09D02_top2""; ""Sp09D01-Sp09D03_top8""; ""Sp09D01-Sp09D04_top7""; ""Sp09D01-Sp09D05_top6""; ""Sp09D01-Sp09D06_top2""; ""Sp09D01-Sp09D07_top6""; ""Sp09D01-Sp09D08_top7""; ""Sp09D01-Sp09D09_top1""; ""all_top19"")"
"3",3,"enrichment","Sp09D01","MYL9",22.9466375357204,4.47117137278171e-65,1.82200233440855e-61,11186,"ENSG00000101335","c(""Sp09D01_top3""; ""Sp09D01-Sp09D02_top3""; ""Sp09D01-Sp09D03_top12""; ""Sp09D01-Sp09D04_top9""; ""Sp09D01-Sp09D05_top11""; ""Sp09D01-Sp09D06_top1""; ""Sp09D01-Sp09D07_top9""; ""Sp09D01-Sp09D08_top10""; ""Sp09D01-Sp09D09_top4"")"
"4",4,"enrichment","Sp09D01","ACTA2",21.607700956213,1.53905089465972e-60,4.70372429680376e-57,6159,"ENSG00000107796","c(""Sp09D01_top4""; ""Sp09D01-Sp09D02_top8""; ""Sp09D01-Sp09D03_top15""; ""Sp09D01-Sp09D04_top13""; ""Sp09D01-Sp09D05_top13""; ""Sp09D01-Sp09D06_top4""; ""Sp09D01-Sp09D07_top10""; ""Sp09D01-Sp09D08_top16""; ""Sp09D01-Sp09D09_top8"")"
"5",5,"enrichment","Sp09D01","A2M",20.7532109527258,1.33104130217012e-57,3.25439598380595e-54,7166,"ENSG00000175899","c(""Sp09D01_top5""; ""Sp09D01-Sp09D02_top4""; ""Sp09D01-Sp09D03_top11""; ""Sp09D01-Sp09D04_top8""; ""Sp09D01-Sp09D05_top9""; ""Sp09D01-Sp09D06_top17""; ""Sp09D01-Sp09D07_top8""; ""Sp09D01-Sp09D08_top8""; ""Sp09D01-Sp09D09_top9"")"
"6",6,"enrichment","Sp09D01","SLC2A1",20.4543756978723,1.43991885992472e-56,2.93383467709663e-53,376,"ENSG00000117394","c(""Sp09D01_top6""; ""Sp09D01-Sp09D02_top6""; ""Sp09D01-Sp09D03_top14""; ""Sp09D01-Sp09D04_top12""; ""Sp09D01-Sp09D05_top14""; ""Sp09D01-Sp09D07_top12""; ""Sp09D01-Sp09D08_top15""; ""Sp09D01-Sp09D09_top19"")"
"7",7,"enrichment","Sp09D01","EPAS1",20.2732868313387,6.11908539935255e-56,9.36729553196601e-53,1390,"ENSG00000116016","c(""Sp09D01_top7""; ""Sp09D01-Sp09D02_top13""; ""Sp09D01-Sp09D03_top13""; ""Sp09D01-Sp09D04_top10""; ""Sp09D01-Sp09D05_top16""; ""Sp09D01-Sp09D06_top11""; ""Sp09D01-Sp09D07_top11""; ""Sp09D01-Sp09D08_top13""; ""Sp09D01-Sp09D09_top20"")"
"8",8,"enrichment","Sp09D01","HLA-E",20.2730654745123,6.12992754648083e-56,9.36729553196601e-53,3842,"ENSG00000204592","c(""Sp09D01_top8""; ""Sp09D01-Sp09D02_top7""; ""Sp09D01-Sp09D03_top5""; ""Sp09D01-Sp09D04_top2""; ""Sp09D01-Sp09D05_top4""; ""Sp09D01-Sp09D06_top10""; ""Sp09D01-Sp09D07_top1""; ""Sp09D01-Sp09D08_top1""; ""Sp09D01-Sp09D09_top3""; ""Sp09D02-Sp09D03_top16""; ""Sp09D02-Sp09D08_top20""; ""all_top4"")"
"9",9,"enrichment","Sp09D01","HLA-B",20.0095365674834,5.05865107120811e-55,6.87133437172435e-52,3861,"ENSG00000234745","c(""Sp09D01_top9""; ""Sp09D01-Sp09D02_top5""; ""Sp09D01-Sp09D03_top1""; ""Sp09D01-Sp09D04_top5""; ""Sp09D01-Sp09D05_top1""; ""Sp09D01-Sp09D06_top13""; ""Sp09D01-Sp09D07_top3""; ""Sp09D01-Sp09D08_top3""; ""Sp09D01-Sp09D09_top7""; ""Sp09D02-Sp09D03_top9""; ""all_top5"")"
"10",10,"enrichment","Sp09D01","HBA1",19.8769867177257,1.46555103044079e-54,1.79163613471387e-51,8759,"ENSG00000206172","c(""Sp09D01_top10""; ""Sp09D01-Sp09D02_top11""; ""Sp09D01-Sp09D03_top7""; ""Sp09D01-Sp09D04_top17""; ""Sp09D01-Sp09D05_top10""; ""Sp09D01-Sp09D06_top9""; ""Sp09D01-Sp09D08_top12""; ""Sp09D01-Sp09D09_top11"")"
"11",11,"enrichment","Sp09D01","HBA2",19.7949577404496,2.83268741836736e-54,3.14814578995827e-51,8758,"ENSG00000188536","c(""Sp09D01_top11""; ""Sp09D01-Sp09D03_top6""; ""Sp09D01-Sp09D04_top14""; ""Sp09D01-Sp09D05_top8""; ""Sp09D01-Sp09D06_top6""; ""Sp09D01-Sp09D07_top14""; ""Sp09D01-Sp09D08_top9""; ""Sp09D01-Sp09D09_top5""; ""Sp09D02-Sp09D03_top15"")"
"12",12,"enrichment","Sp09D01","IFI27",19.2469728930535,2.34350985755779e-52,2.387450667387e-49,8299,"ENSG00000165949","c(""Sp09D01_top12""; ""Sp09D01-Sp09D02_top16""; ""Sp09D01-Sp09D03_top18""; ""Sp09D01-Sp09D04_top16""; ""Sp09D01-Sp09D05_top18""; ""Sp09D01-Sp09D07_top15"")"
"13",13,"enrichment","Sp09D01","FLNA",18.8821408819832,4.48501901415771e-51,4.21764288062138e-48,12177,"ENSG00000196924","c(""Sp09D01_top13""; ""Sp09D01-Sp09D05_top19""; ""Sp09D01-Sp09D06_top16""; ""Sp09D01-Sp09D07_top20""; ""Sp09D01-Sp09D09_top15"")"
"14",14,"enrichment","Sp09D01","MYH11",18.5399803018253,7.20078539926007e-50,6.28782867899674e-47,8934,"ENSG00000133392","c(""Sp09D01_top14""; ""Sp09D01-Sp09D06_top8""; ""Sp09D01-Sp09D07_top19""; ""Sp09D01-Sp09D09_top16"")"
"15",15,"enrichment","Sp09D01","COL1A2",18.3588863972185,3.13820206134134e-49,2.55763467999319e-46,4641,"ENSG00000164692","c(""Sp09D01_top15""; ""Sp09D01-Sp09D03_top19""; ""Sp09D01-Sp09D04_top15""; ""Sp09D01-Sp09D06_top7""; ""Sp09D01-Sp09D07_top13""; ""Sp09D01-Sp09D08_top14""; ""Sp09D01-Sp09D09_top10"")"
"16",16,"enrichment","Sp09D01","TPM2",18.2765432550559,6.13237270272408e-49,4.68551601817512e-46,5483,"ENSG00000198467","c(""Sp09D01_top16""; ""Sp09D01-Sp09D06_top19""; ""Sp09D01-Sp09D09_top14"")"
"17",17,"enrichment","Sp09D01","BGN",17.9476131565918,8.94021034475227e-48,6.4290630273292e-45,12160,"ENSG00000182492","c(""Sp09D01_top17""; ""Sp09D01-Sp09D02_top19""; ""Sp09D01-Sp09D03_top16""; ""Sp09D01-Sp09D04_top18""; ""Sp09D01-Sp09D05_top17""; ""Sp09D01-Sp09D07_top18""; ""Sp09D01-Sp09D08_top19"")"
"18",18,"enrichment","Sp09D01","CRIP1",17.8384527368223,2.17788322321391e-47,1.47914568909945e-44,8374,"ENSG00000213145","c(""Sp09D01_top18""; ""Sp09D01-Sp09D02_top20""; ""Sp09D01-Sp09D06_top12"")"
"19",19,"enrichment","Sp09D01","VIM",17.7737486944069,3.69272071347858e-47,2.37597424854082e-44,5948,"ENSG00000026025","c(""Sp09D01_top19""; ""Sp09D01-Sp09D03_top9""; ""Sp09D01-Sp09D04_top3""; ""Sp09D01-Sp09D05_top7""; ""Sp09D01-Sp09D06_top5""; ""Sp09D01-Sp09D07_top7""; ""Sp09D01-Sp09D08_top5""; ""Sp09D01-Sp09D09_top6""; ""Sp09D02-Sp09D03_top10""; ""Sp09D02-Sp09D04_top4""; ""Sp09D02-Sp09D05_top11""; ""Sp09D02-Sp09D07_top13""; ""Sp09D02-Sp09D08_top6""; ""all_top6"")"
"20",20,"enrichment","Sp09D01","IFITM3",17.5917912333741,1.63155864418343e-46,9.97290221257122e-44,6383,"ENSG00000142089","c(""Sp09D01_top20""; ""Sp09D01-Sp09D02_top9""; ""Sp09D01-Sp09D03_top3""; ""Sp09D01-Sp09D04_top1""; ""Sp09D01-Sp09D05_top3""; ""Sp09D01-Sp09D07_top4""; ""Sp09D01-Sp09D08_top2""; ""Sp09D01-Sp09D09_top12""; ""Sp09D02-Sp09D03_top13""; ""all_top2"")"
"21",21,"enrichment","Sp09D01","HBB",17.2965779570662,1.82222434506498e-45,1.0607948865914e-42,6429,"ENSG00000244734","c(""Sp09D01-Sp09D03_top20""; ""Sp09D01-Sp09D05_top20"")"
"22",22,"enrichment","Sp09D01","MUSTN1",17.2017938916304,3.95674893428521e-45,2.19869344189258e-42,2298,"ENSG00000272573","character(0)"
"23",23,"enrichment","Sp09D01","C11orf96",17.1380342921903,6.66679430477615e-45,3.5435461032995e-42,6567,"ENSG00000187479","Sp09D01-Sp09D02_top14"
"24",24,"enrichment","Sp09D01","MGP",17.1118772006513,8.25816280313834e-45,4.20650167784859e-42,7191,"ENSG00000111341","c(""Sp09D01-Sp09D02_top18""; ""Sp09D01-Sp09D06_top14""; ""Sp09D01-Sp09D07_top17""; ""Sp09D01-Sp09D09_top13""; ""Sp09D03-Sp09D05_top19"")"
"25",25,"enrichment","Sp09D01","SERPING1",16.9149758634042,4.13933518279154e-44,2.02413490438506e-41,6617,"ENSG00000149131","character(0)"
"10907",1,"enrichment","Sp09D02","MT-ATP8",14.5289842708756,1.25129470071082e-35,1.52970777161898e-31,12216,"ENSG00000228253","c(""Sp09D02_top1""; ""Sp09D02-Sp09D03_top20""; ""Sp09D02-Sp09D04_top7""; ""Sp09D02-Sp09D05_top14""; ""Sp09D02-Sp09D06_top3""; ""Sp09D02-Sp09D07_top3""; ""Sp09D02-Sp09D08_top19""; ""Sp09D02-Sp09D09_top2"")"
