"gene_id","gene_name","gene_type","avg_rank"
"ENSG00000131095","GFAP","protein_coding",5.06666666666667
"ENSG00000269028","MTRNR2L12","protein_coding",7.63333333333333
"ENSG00000101439","CST3","protein_coding",16.0666666666667
"ENSG00000197971","MBP","protein_coding",23.7
"ENSG00000123560","PLP1","protein_coding",24.1666666666667
"ENSG00000154146","NRGN","protein_coding",47.9333333333333
"ENSG00000187094","CCK","protein_coding",48.1666666666667
"ENSG00000034510","TMSB10","protein_coding",69.4
"ENSG00000171617","ENC1","protein_coding",76.1333333333333
"ENSG00000087250","MT3","protein_coding",106.433333333333
"ENSG00000132639","SNAP25","protein_coding",117.266666666667
"ENSG00000277586","NEFL","protein_coding",118.333333333333
"ENSG00000167996","FTH1","protein_coding",153.133333333333
"ENSG00000107317","PTGDS","protein_coding",181.633333333333
"ENSG00000123416","TUBA1B","protein_coding",204
"ENSG00000255823","MTRNR2L8","protein_coding",229.366666666667
"ENSG00000137267","TUBB2A","protein_coding",231.033333333333
"ENSG00000154277","UCHL1","protein_coding",235.7
"ENSG00000111640","GAPDH","protein_coding",243.033333333333
"ENSG00000177954","RPS27","protein_coding",245.733333333333
"ENSG00000229117","RPL41","protein_coding",253.9
"ENSG00000104722","NEFM","protein_coding",254.433333333333
"ENSG00000131711","MAP1B","protein_coding",260.033333333333
"ENSG00000205542","TMSB4X","protein_coding",260.233333333333
"ENSG00000109475","RPL34","protein_coding",267.4
"ENSG00000189043","NDUFA4","protein_coding",286.233333333333
"ENSG00000152583","SPARCL1","protein_coding",288.633333333333
"ENSG00000067715","SYT1","protein_coding",314.433333333333
"ENSG00000145592","RPL37","protein_coding",320.833333333333
"ENSG00000120885","CLU","protein_coding",326.766666666667
"ENSG00000112306","RPS12","protein_coding",328.933333333333
"ENSG00000145920","CPLX2","protein_coding",336.4
"ENSG00000080824","HSP90AA1","protein_coding",340.366666666667
"ENSG00000163032","VSNL1","protein_coding",341.066666666667
"ENSG00000154096","THY1","protein_coding",352.633333333333
"ENSG00000214548","MEG3","lncRNA",354.9
"ENSG00000014641","MDH1","protein_coding",361.633333333333
"ENSG00000111775","COX6A1","protein_coding",368.833333333333
"ENSG00000197756","RPL37A","protein_coding",369.833333333333
"ENSG00000164919","COX6C","protein_coding",373.666666666667
"ENSG00000128245","YWHAH","protein_coding",381.833333333333
"ENSG00000102003","SYP","protein_coding",383.333333333333
"ENSG00000104888","SLC17A7","protein_coding",391.5
"ENSG00000109472","CPE","protein_coding",394.766666666667
"ENSG00000176884","GRIN1","protein_coding",395.133333333333
"ENSG00000109971","HSPA8","protein_coding",404.133333333333
"ENSG00000171246","NPTX1","protein_coding",414.733333333333
"ENSG00000050165","DKK3","protein_coding",419.566666666667
"ENSG00000104435","STMN2","protein_coding",423.666666666667
"ENSG00000117152","RGS4","protein_coding",426.5
"ENSG00000130558","OLFM1","protein_coding",436.466666666667
"ENSG00000213741","RPS29","protein_coding",458.033333333333
"ENSG00000171858","RPS21","protein_coding",467.1
"ENSG00000185883","ATP6V0C","protein_coding",470
"ENSG00000078018","MAP2","protein_coding",490.866666666667
"ENSG00000143933","CALM2","protein_coding",496.066666666667
"ENSG00000188191","PRKAR1B","protein_coding",504.1
"ENSG00000172020","GAP43","protein_coding",518.1
"ENSG00000156508","EEF1A1","protein_coding",524.966666666667
"ENSG00000010404","IDS","protein_coding",527.8
"ENSG00000103034","NDRG4","protein_coding",528.833333333333
"ENSG00000186468","RPS23","protein_coding",530.566666666667
"ENSG00000167552","TUBA1A","protein_coding",532.333333333333
"ENSG00000233927","RPS28","protein_coding",536.233333333333
"ENSG00000168490","PHYHIP","protein_coding",538.666666666667
"ENSG00000173660","UQCRH","protein_coding",542.033333333333
"ENSG00000096384","HSP90AB1","protein_coding",545.633333333333
"ENSG00000136854","STXBP1","protein_coding",550.433333333333
"ENSG00000157782","CABP1","protein_coding",552.7
"ENSG00000196262","PPIA","protein_coding",557
"ENSG00000133169","BEX1","protein_coding",559
"ENSG00000133318","RTN3","protein_coding",562.666666666667
"ENSG00000020129","NCDN","protein_coding",567.633333333333
"ENSG00000150625","GPM6A","protein_coding",568.766666666667
"ENSG00000128656","CHN1","protein_coding",574.166666666667
"ENSG00000139970","RTN1","protein_coding",579.433333333333
"ENSG00000172809","RPL38","protein_coding",584.733333333333
"ENSG00000173915","ATP5MD","protein_coding",585.1
"ENSG00000171603","CLSTN1","protein_coding",585.666666666667
"ENSG00000106976","DNM1","protein_coding",585.833333333333
"ENSG00000111674","ENO2","protein_coding",600.266666666667
"ENSG00000198668","CALM1","protein_coding",602.233333333333
"ENSG00000176788","BASP1","protein_coding",603.8
"ENSG00000087460","GNAS","protein_coding",605.533333333333
"ENSG00000118181","RPS25","protein_coding",611.333333333333
"ENSG00000104490","NCALD","protein_coding",613.533333333333
"ENSG00000166963","MAP1A","protein_coding",614.366666666667
"ENSG00000137818","RPLP1","protein_coding",619.4
"ENSG00000170315","UBB","protein_coding",619.633333333333
"ENSG00000163399","ATP1A1","protein_coding",620.9
"ENSG00000087086","FTL","protein_coding",622.066666666667
"ENSG00000111669","TPI1","protein_coding",622.5
"ENSG00000142937","RPS8","protein_coding",623.366666666667
"ENSG00000133083","DCLK1","protein_coding",623.4
"ENSG00000162188","GNG3","protein_coding",623.933333333333
"ENSG00000163536","SERPINI1","protein_coding",629.9
