id,label
2106,astro
1873,micro
1511,astro
1081,neuron
1850,micro
2376,micro
3978,oligo
3503,oligo
3409,neuron
3261,astro
2754,astro
3328,micro
8316,astro
7700,neuron
7688,astro
7304,oligo
4960,oligo
4637,astro
3568,astro
7907,micro
7729,astro
7457,neuron
4926,neuron
8373,astro
6888,micro
5847,micro
4157,micro
24208,micro
25522,micro
23595,neuron
23477,oligo
24523,oligo
27358,micro
26762,micro
14848,oligo
14397,astro
13632,neuron
12932,neuron
11814,astro
10214,neuron
14688,astro
14789,astro
12054,micro
16551,neuron
16286,neuron
16098,neuron
15033,neuron
16686,oligo
13745,astro
13589,astro
11507,astro
14931,astro
16772,oligo
16007,astro
21348,neuron
20729,astro
19453,micro
18351,astro
18163,micro
20944,micro
19324,oligo
19560,neuron
21678,astro
17701,oligo
18955,oligo
20515,oligo
21424,astro
17757,micro
24395,oligo
29187,neuron
28635,neuron
25229,neuron
28285,oligo
25752,micro
27646,micro
24627,oligo
23986,neuron
25643,oligo
25603,neuron
16678,neuron
14413,oligo
9488,neuron
12865,oligo
13599,neuron
17727,neuron
15554,micro
17323,micro
9366,micro
21434,oligo
21887,neuron
27476,oligo
21036,neuron
28160,micro
29253,micro
27961,micro
30344,micro
30363,micro
6675,neuron
5106,neuron
6874,oligo
4169,neuron
4736,oligo
8647,oligo
4153,oligo
3901,oligo
7841,micro
14249,oligo
11008,neuron
14683,astro
8715,oligo
15583,astro
15511,astro
17555,astro
18895,astro
20789,micro
25083,astro
22523,oligo
23563,oligo
25616,astro
25567,micro
