"","1","2","3","4","5","6","7","8","9"
"1","CLDN5_ENSG00000184113","MT-ATP8_ENSG00000228253","HPCAL1_ENSG00000115756","PCP4_ENSG00000183036","CARTPT_ENSG00000164326","ABCA2_ENSG00000107331","NPTX1_ENSG00000171246","NEFM_ENSG00000104722","MBP_ENSG00000197971"
"2","TAGLN_ENSG00000149591","MT-ND2_ENSG00000198763","CAMK2N1_ENSG00000162545","TMSB10_ENSG00000034510","FREM3_ENSG00000183090","DBNDD2_ENSG00000244274","SMIM32_ENSG00000271824","NEFH_ENSG00000100285","NXPH4_ENSG00000182379"
"3","MYL9_ENSG00000101335","MT-ND1_ENSG00000198888","ARPP19_ENSG00000128989","AL353751.1_ENSG00000232110","GPR6_ENSG00000146360","CNP_ENSG00000173786","DIRAS2_ENSG00000165023","NEFL_ENSG00000277586","KRT17_ENSG00000128422"
"4","ACTA2_ENSG00000107796","C1orf61_ENSG00000125462","LINC02714_ENSG00000251226","TRABD2A_ENSG00000186854","ENC1_ENSG00000171617","CLDND1_ENSG00000080822","MAP2K1_ENSG00000169032","SCN1B_ENSG00000105711","PLP1_ENSG00000123560"
"5","A2M_ENSG00000175899","CXCL14_ENSG00000145824","RASGRF2_ENSG00000113319","TTC9B_ENSG00000174521","ADCYAP1_ENSG00000141433","PLP1_ENSG00000123560","SLN_ENSG00000170290","LGALS1_ENSG00000100097","BCAS1_ENSG00000064787"
"6","SLC2A1_ENSG00000117394","MT-ND6_ENSG00000198695","GNAL_ENSG00000141404","MEPE_ENSG00000152595","LMO4_ENSG00000143013","EDIL3_ENSG00000164176","THEMIS_ENSG00000172673","GPX3_ENSG00000211445","MOBP_ENSG00000168314"
"7","EPAS1_ENSG00000116016","MT-ND5_ENSG00000198786","C1QL2_ENSG00000144119","HTR2C_ENSG00000147246","AJ009632.2_ENSG00000229425","SOX2-OT_ENSG00000242808","AK5_ENSG00000154027","RCAN2_ENSG00000172348","MTURN_ENSG00000180354"
"8","HLA-E_ENSG00000204592","MT-ND4L_ENSG00000212907","EGR3_ENSG00000179388","SMYD2_ENSG00000143499","CYP46A1_ENSG00000036530","PLAAT3_ENSG00000176485","DACH1_ENSG00000276644","SMPX_ENSG00000091482","PAQR6_ENSG00000160781"
"9","HLA-B_ENSG00000234745","MTRNR2L12_ENSG00000269028","LAMP5_ENSG00000125869","CAMK2D_ENSG00000145349","YWHAH_ENSG00000128245","SLC44A1_ENSG00000070214","DKK3_ENSG00000050165","SYT2_ENSG00000143858","NPY_ENSG00000122585"
"10","HBA1_ENSG00000206172","MT-ND4_ENSG00000198886","SLCO2A1_ENSG00000174640","PFKP_ENSG00000067057","C14orf132_ENSG00000227051","PMP22_ENSG00000109099","ISLR_ENSG00000129009","VAMP1_ENSG00000139190","CLDND1_ENSG00000080822"
"11","HBA2_ENSG00000188536","MT3_ENSG00000087250","GPR83_ENSG00000123901","VAT1L_ENSG00000171724","LINC01007_ENSG00000233123","PLLP_ENSG00000102934","TMEM233_ENSG00000224982","NSG1_ENSG00000168824","ERMN_ENSG00000136541"
"12","IFI27_ENSG00000165949","SCG3_ENSG00000104112","PENK_ENSG00000181195","TUBB2A_ENSG00000137267","CA10_ENSG00000154975","SPP1_ENSG00000118785","PPP1R1A_ENSG00000135447","ATP1B1_ENSG00000143153","CNP_ENSG00000173786"
"13","FLNA_ENSG00000196924","RELN_ENSG00000189056","PCDH8_ENSG00000136099","NRSN1_ENSG00000152954","MEF2C_ENSG00000081189","TF_ENSG00000091513","OLFML2B_ENSG00000162745","ATP1A1_ENSG00000163399","AQP1_ENSG00000240583"
"14","MYH11_ENSG00000133392","CST3_ENSG00000101439","ENC1_ENSG00000171617","LRMP_ENSG00000118308","GABRD_ENSG00000187730","FEZ1_ENSG00000149557","OPRK1_ENSG00000082556","MAP1B_ENSG00000131711","CCN2_ENSG00000118523"
"15","COL1A2_ENSG00000164692","MT-CO1_ENSG00000198804","CALB1_ENSG00000104327","SYN2_ENSG00000157152","HOPX_ENSG00000171476","AMER2_ENSG00000165566","SYNPR_ENSG00000163630","TMX4_ENSG00000125827","OPALIN_ENSG00000197430"
